feature,permutation_importance_mean,permutation_importance_sd
BMI,0.10730964458882086,0.00504693769324133
Age,0.08948466979245019,0.0024813950996442164
Income,0.024960506312909136,0.0032976424822825402
Sex,0.004893864716519258,0.0007033095862014253
HvyAlcoholConsump,0.004315829479445099,0.0009519183536044718
PhysActivity,0.003195980221151884,0.0008089197002563719
Education,0.002789225648493454,0.0008451220829431953
Smoker,0.0008321438287113958,0.0004798573274724762
Fruits,0.0004936390840281413,0.00030602830024416825
Veggies,0.0003777583972092602,0.0002559751030907222
