AgeGroup,BMICategory,positive_n,false_negative_rate
18–34,Normal weight,14,1.0
18–34,Obese I,26,0.9615384615384616
18–34,Obese II/III,41,0.3170731707317073
18–34,Overweight,18,1.0
35–44,Normal weight,34,0.9411764705882353
35–44,Obese I,88,0.5568181818181818
35–44,Obese II/III,168,0.125
35–44,Overweight,74,0.8783783783783784
45–54,Normal weight,80,0.675
45–54,Obese I,266,0.08270676691729323
45–54,Obese II/III,357,0.0056022408963585435
45–54,Overweight,210,0.45714285714285713
55–64,Normal weight,170,0.5647058823529412
55–64,Obese I,599,0.00667779632721202
55–64,Obese II/III,675,0.0
55–64,Overweight,566,0.17491166077738515
65–74,Normal weight,238,0.2857142857142857
65–74,Obese I,767,0.0
65–74,Obese II/III,639,0.0
65–74,Overweight,698,0.02148997134670487
75+,Normal weight,260,0.11923076923076924
75+,Obese I,352,0.0
75+,Obese II/III,186,0.0
75+,Overweight,514,0.0
